"EAGLE -Title  Revised: Thursday, September 14, 2017"												
870-00135-00          Revision: B0												
												
												
												
												
												
												
												
"Bill Of Materials      September 19,2017      20:23:11"	Page1											
												
Item	Quantity	Reference	Part	BIN#	Description	Manuf	ManPartNum	Manuf2	ManPartNum2	Package	Height	ROHS
_______________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________												
												
1	35	"C200,C207,C418,C450,C451,C452,C453,C454,C455,C456,C457,C459,C460,C465,C466,C467,C468,C469,C470,C471,C472,C473,C474,C475,C476,C477,C478,C479,C480,C481,C491,C504,C511,C613,C1913"	0.1uF_0201	2	CAP CER .10UF 4.0V X6S 0201	TDK	C0603X6S0G104M			CAP0201	0.3	Y
2	16	"C107,C108,C109,C110,C119,C121,C145,C146,C257,C258,C1325,C1329,C1346,C1347,C1355,C1356"	15pF_0402	7	"CAP, 15pF, NPO, 50V, 10%,0402"	AVX	04025A150JAT2A          	Venkel	C0402C0G500-150JNP	CAP0402	0.3	Y
3	8	"C61,C444,C445,C446,C447,C448,C449,C1330"	27pF_0402	10	"CAP, 27pF, NPO, 50V, 10%,0402"	AVX	04025A270JAT2A	Venkel	C0402C0G500-270KNE	CAP0402	0.55	Y
4	20	"C167,C180,C357,C363,C364,C422,C802,C803,C805,C806,C809,C810,C811,C812,C813,C814,C815,C816,C817,C818"	150pF_0402	15	"CAP, 150pF, NPO, 50V, 10%,0402"	AVX	04025A151JAT2A			CAP0402	0.56	Y
5	4	"C799,C801,C804,C807"	3.3nF_0402	23	"CAP, 3300pF, X7R, 25V, 10%,0402"	MURATA	GRM155R71H332KA01D	Venkel	C0402X7R250-332KNP	CAP0402	0.3	Y
6	4	"C30,C398,C507,C516"	4.7nF_0402	25	"CAP, 4700pF, X7R, 25V, 10%,0402"	MURATA	GRM155R71H472KA01D					
7	76	"C38,C39,C40,C114,C170,C219,C220,C259,C269,C276,C375,C383,C386,C409,C410,C424,C441,C517,C527,C528,C539,C540,C551,C552,C607,C627,C628,C639,C640,C651,C652,C702,C730,C731,C742,C743,C867,C868,C879,C880,C891,C892,C903,C904,C915,C916,C927,C928,C940,C941,C952,C953,C964,C965,C1185,C1186,C1187,C1188,C1189,C1190,C1191,C1192,C1193,C1194,C1195,C1196,C1197,C1198,C1199,C1200,C1249,C1255,C1256,C1353,C1387,C1834"	0.01uF_0402	28	"CAP, .01uF, X7R, 25V, 10%, 0402"	Yageo	CC0402KRX7R8BB103			CAP0402	0.5	Y
8	219	"C11,C12,C14,C18,C35,C37,C41,C60,C106,C111,C113,C115,C116,C117,C118,C126,C127,C132,C133,C139,C140,C147,C148,C149,C151,C153,C158,C162,C165,C168,C185,C186,C188,C190,C195,C196,C199,C205,C206,C215,C216,C225,C226,C227,C235,C236,C237,C238,C239,C240,C245,C246,C248,C250,C255,C256,C261,C263,C265,C271,C273,C278,C279,C280,C285,C286,C289,C290,C295,C296,C299,C300,C305,C306,C309,C310,C315,C316,C317,C318,C319,C320,C325,C326,C327,C328,C329,C330,C335,C336,C339,C340,C345,C346,C347,C349,C350,C355,C356,C358,C359,C360,C367,C370,C372,C374,C377,C382,C385,C396,C405,C406,C411,C421,C423,C425,C426,C430,C431,C434,C438,C440,C515,C531,C532,C543,C544,C555,C556,C561,C562,C571,C572,C581,C582,C583,C591,C592,C593,C594,C606,C610,C620,C631,C632,C643,C644,C655,C656,C661,C662,C664,C671,C672,C673,C681,C682,C683,C691,C692,C694,C701,C704,C706,C708,C727,C738,C739,C744,C778,C786,C788,C793,C795,C796,C871,C872,C883,C884,C895,C896,C907,C908,C919,C920,C931,C932,C944,C945,C956,C957,C968,C969,C1061,C1062,C1067,C1183,C1184,C1246,C1247,C1248,C1250,C1251,C1252,C1253,C1254,C1320,C1321,C1322,C1326,C1328,C1331,C1349,C1350,C1351,C1352,C1354,C1386,C1906"	0.1uF_0402	29	CAP.1uF X7R 16V 10% 0402	Murata	GRM155R71C104KA88D	Venkel	C0402X7R160-104KNE	CAP0402	0.3	Y
