''	BIN#	Description	Manuf	ManPartNum	Manuf2	ManPartNum2	Package	Height	ROHS	Note160803	TMA_COST	PL_COST	CostTMA_170921	CostPL_170921	Ucost	Cost1	Break2	Cost2	Reel	CostReel	Ucost	DSTR	PartNum	Qty	Price	Date	BB3B1_82	BB3C_8	SydneyRevC_122	TMA-043_80	TSrevC_40	RNS_B_8	TMA-054_10	Nuvola_8	SydneyD_8	RTK_8	BB3B1_50	BMC	RP1_12	TMA55_6	RTK0EN_4	BP1_6	OspreyA1	EagleA2	R170727	B170921	BMC_140	OSPa1_146	B170921_1200	EagleB0_10	B170921_1200	
'0.01uF_0201'	T1	CAP CER .010UF 6V3 X5R 0201	TDK	ECJZEB0J103K			CAP0201	0.3	Y	USED ON OSPA1_146, balance with 0.1uF_0201	0.0000 	0.0330 	0.00 	0.00 		0.0061	1000	0.033	10000	0.00231							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	31	0 	800	800	0 	31	0 	0	0 	
'0.1uF_0201'	2	CAP CER .10UF 4.0V X6S 0201	TDK	C0603X6S0G104M			CAP0201	0.3	Y	T	0.0070 	0.0000 	62.47 	0.00 	0.007	DK	C0603X6S0G104M	15000	105	110121							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	31 	13000	13000	0 	0	9274 	35	8924 	
'2.7pF_0402'	3	CAP CERAMIC 2.7PF 25V 0402 RFSMD	AVX	04023J2R7BBSTR			CAP0402	0.3	Y		0.2160 	0.0000 	756.00 	0.00 	0.216	DK	04023J2R7BBSTR	5000	1080	110121							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	3500	3500	0 	0	3500 	0	3500 	
'3pF_0402'	4	MLC Cap, 3pF, C0G, 0402	Murata	GRM1555C1H3R0CA01D	Venkel	C0402C0G500-3R0CNE 	CAP0402	0.55	Y		0.0000 	0.0020 	0.00 	18.00 		0.002	1000	0.002	10000	0.0017							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	9000	9000	0 	0	9000 	0	9000 	
'5.6pF_0402'	5	CAP CERAMIC 5.6PF 25V 0402 RFSMD	AVX	04023J5R6BBSTR			CAP0402	0.3	Y		0.3120 	0.0000 	312.00 	0.00 	0.312	DK	04023J5R6BBSTR	1500	468	110121							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	1	0 	0	0 	1000	1000	0 	0	1000 	0	1000 	
'7pF_0402'	6	MLC Cap, 7pF, C0G, 0402	Murata	GRM1555C1H7R0CA01D	Venkel	C0402C0G500-4R7FNE	CAP0402	0.55	Y		0.0000 	0.0020 	0.00 	18.00 		0.002	1000	0.002	10000	0.0017							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	9000	9000	0 	0	9000 	0	9000 	
'15pF_0402'	7	CAP, 15pF, NPO, 50V, 10%,0402	AVX	04025A150JAT2A          	Venkel	C0402C0G500-150JNP	CAP0402	0.3	Y		0.0000 	0.0260 	0.00 	336.44 		0.065	1000	0.026	10000	0.018							0	0	0	0 	0 	0	0	0	0	0	0	6	0 	0 	0	0 	4	4 	15000	15000	6 	4	13100 	16	12940 	
'16pF_0402'	8	CAP, 16pF, NPO, 50V, 10%,0402	AVX	04025A160JAT2A	Venkel	C0402C0G500-160JNP	CAP0402	0.3	Y	USED ON OSPA1_146, balance 15pF_0402	0.0000 	0.0160 	0.00 	0.00 		0.02	1000	0.016	10000	0.0013							18	14	4	4 	12 	0	0	0	22	2	18	0	0 	0 	2	6 	6	6 	400	400	0 	6	0 	0	0 	
'24pF_0402'	T9	CAP, 24pF, NPO, 50V, 10%,0402	Murata	GRM1555C1H240JA01D	AVX	04025A240JAT2A	CAP0402	0.56	Y	REMOVED	0.0000 	0.0260 	0.00 	0.00 		0.065	1000	0.026	10000	0.018							0	0									0	0	0 	0 	0	0 	0	0 		0	0 	0	0 	0	0 	
'27pF_0402'	10	CAP, 27pF, NPO, 50V, 10%,0402	AVX	04025A270JAT2A	Venkel	C0402C0G500-270KNE	CAP0402	0.55	Y		0.0013 	0.0000 	7.48 	0.00 	0.0013	Venkel	C0402C0G500-270KNE	10000	13	120709							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	2 	0	0 	8	8 	7000	7000	0 	8	5832 	8	5752 	
